1	2	3	4	0.05891	-3	-0.00182095
2	0	0	0	0	-1	0.0813995
3	4	13	4	0.0665337	-3	-0.00397606
4	5	10	8	42	-3	-0.0366096
5	6	7	4	0.0636994	-3	-0.058787
6	0	0	0	0	-1	-0.0266067
7	8	9	7	0.352031	-3	-0.0825724
8	0	0	0	0	-1	-0.11358
9	0	0	0	0	-1	-0.0422626
10	11	12	2	0.0203034	-3	0.0019597
11	0	0	0	0	-1	0.0497289
12	0	0	0	0	-1	-0.0418287
13	14	33	1	0.207196	-3	0.000707113
14	15	32	1	0.199072	-3	-0.00134762
15	16	29	3	0.0685935	-3	0.000767924
16	17	20	4	0.0674733	-3	0.00307594
17	18	19	1	0.1152	-3	-0.0329355
18	0	0	0	0	-1	0.0251919
19	0	0	0	0	-1	-0.0910628
20	21	22	4	0.0680958	-3	0.00500169
21	0	0	0	0	-1	0.0417694
22	23	24	7	0.315936	-3	0.00346543
23	0	0	0	0	-1	0.0150182
24	25	26	7	0.330134	-3	-0.000995092
25	0	0	0	0	-1	-0.0221025
26	27	28	5	0.00312941	-3	0.00777081
27	0	0	0	0	-1	0.0156792
28	0	0	0	0	-1	-0.0116272
29	30	31	5	0.00319815	-3	-0.0405666
30	0	0	0	0	-1	-0.105873
31	0	0	0	0	-1	0.0138552
32	0	0	0	0	-1	-0.0893543
33	0	0	0	0	-1	0.0680392
