1	2	3	4	0.0586351	-3	-0.00238459
2	0	0	0	0	-1	0.0782441
3	4	13	3	0.0383087	-3	-0.00463769
4	5	6	6	0.35132	-3	0.00203527
5	0	0	0	0	-1	-0.0480925
6	7	10	5	0.00462305	-3	0.00506792
7	8	9	8	42	-3	-0.00057472
8	0	0	0	0	-1	0.0067451
9	0	0	0	0	-1	-0.0202819
10	11	12	7	0.310019	-3	0.038098
11	0	0	0	0	-1	-0.0159596
12	0	0	0	0	-1	0.0726948
13	14	17	3	0.0410155	-3	-0.0144335
14	15	16	5	0.00390627	-3	-0.0584106
15	0	0	0	0	-1	-0.0207651
16	0	0	0	0	-1	-0.114879
17	18	33	5	0.00474698	-3	-0.0082569
18	19	22	8	5	-3	-0.0199796
19	20	21	5	0.00328973	-3	0.0166567
20	0	0	0	0	-1	0.0637435
21	0	0	0	0	-1	-0.0265062
22	23	24	5	0.00181843	-3	-0.0278547
23	0	0	0	0	-1	-0.0860126
24	25	28	3	0.05193	-3	-0.021859
25	26	27	4	0.0814266	-3	0.00271033
26	0	0	0	0	-1	0.0206756
27	0	0	0	0	-1	-0.0511855
28	29	30	4	0.072559	-3	-0.0391007
29	0	0	0	0	-1	-0.0742604
30	31	32	1	0.0734801	-3	-0.0185909
31	0	0	0	0	-1	-0.0401256
32	0	0	0	0	-1	0.0373995
33	0	0	0	0	-1	0.0234921
