1	2	3	4	0.0594832	-3	0.0149471
2	0	0	0	0	-1	0.121874
3	4	15	4	0.0679908	-3	0.0110745
4	5	10	4	0.0660945	-3	-0.0358163
5	6	9	8	42	-3	0.0112279
6	7	8	2	0.0233669	-3	0.0581911
7	0	0	0	0	-1	0.133859
8	0	0	0	0	-1	0.00477843
9	0	0	0	0	-1	-0.0568687
10	11	14	8	42	-3	-0.0934454
11	12	13	7	0.317572	-3	-0.16069
12	0	0	0	0	-1	-0.307519
13	0	0	0	0	-1	-0.0477444
14	0	0	0	0	-1	-0.00246772
15	16	17	6	0.354915	-3	0.0213032
16	0	0	0	0	-1	0.191706
17	18	19	6	0.366488	-3	0.0161395
18	0	0	0	0	-1	-0.094758
19	20	29	2	0.0807639	-3	0.019605
20	21	28	4	0.0809582	-3	0.0109912
21	22	27	4	0.0802049	-3	0.0281724
22	23	26	1	0.154722	-3	0.0185749
23	24	25	1	0.145025	-3	0.00955013
24	0	0	0	0	-1	0.0169984
25	0	0	0	0	-1	-0.0757662
26	0	0	0	0	-1	0.0958492
27	0	0	0	0	-1	0.150541
28	0	0	0	0	-1	-0.00598432
29	30	31	7	0.288126	-3	0.074601
30	0	0	0	0	-1	0.220606
31	32	33	8	17.5	-3	0.0259327
32	0	0	0	0	-1	0.122462
33	0	0	0	0	-1	-0.0119895
