1	2	3	4	0.0588902	-3	-0.00985153
2	0	0	0	0	-1	-0.243603
3	4	5	4	0.0602661	-3	-0.00187205
4	0	0	0	0	-1	0.30623
5	6	33	5	0.00681537	-3	-0.0101305
6	7	8	8	5	-3	-0.00394468
7	0	0	0	0	-1	-0.105448
8	9	12	7	0.296064	-3	0.0118997
9	10	11	6	0.396436	-3	0.123366
10	0	0	0	0	-1	0.465949
11	0	0	0	0	-1	0.0472359
12	13	32	5	0.00574314	-3	-0.00536962
13	14	17	4	0.0664444	-3	-0.0133361
14	15	16	5	0.00473242	-3	-0.182246
15	0	0	0	0	-1	-0.0117268
16	0	0	0	0	-1	-0.304045
17	18	29	3	0.0360197	-3	-0.00066789
18	19	28	5	0.00430167	-3	-0.0327939
19	20	21	4	0.0757882	-3	-0.0530668
20	0	0	0	0	-1	-0.435936
21	22	27	1	0.13615	-3	-0.0227174
22	23	24	8	59	-3	-0.0701761
23	0	0	0	0	-1	-0.110286
24	25	26	7	0.3553	-3	0.0386944
25	0	0	0	0	-1	0.145538
26	0	0	0	0	-1	-0.103763
27	0	0	0	0	-1	0.0595443
28	0	0	0	0	-1	0.166556
29	30	31	1	0.126876	-3	0.0494487
30	0	0	0	0	-1	0.0746291
31	0	0	0	0	-1	-0.100234
32	0	0	0	0	-1	0.243764
33	0	0	0	0	-1	-0.276682
