1	2	3	4	0.0583772	-3	-0.00724318
2	0	0	0	0	-1	-0.120725
3	4	9	7	0.310907	-3	-0.00430441
4	5	6	4	0.0680696	-3	0.0234578
5	0	0	0	0	-1	0.164492
6	7	8	7	0.307937	-3	0.0064815
7	0	0	0	0	-1	-0.000195512
8	0	0	0	0	-1	0.0719162
9	10	29	1	0.144439	-3	-0.0131213
10	11	26	6	0.455291	-3	-0.00435882
11	12	25	4	0.0815875	-3	-0.00066696
12	13	22	5	0.00491815	-3	0.00954499
13	14	21	4	0.0801991	-3	0.0175402
14	15	16	5	0.0027337	-3	0.0107634
15	0	0	0	0	-1	-0.0250882
16	17	18	8	21	-3	0.0238004
17	0	0	0	0	-1	-0.0132236
18	19	20	4	0.0764666	-3	0.0376844
19	0	0	0	0	-1	0.0506587
20	0	0	0	0	-1	-0.0132146
21	0	0	0	0	-1	0.0627187
22	23	24	5	0.00539483	-3	-0.0285013
23	0	0	0	0	-1	-0.0755149
24	0	0	0	0	-1	0.0153781
25	0	0	0	0	-1	-0.0186185
26	27	28	1	0.0856603	-3	-0.0415614
27	0	0	0	0	-1	-0.0852049
28	0	0	0	0	-1	-0.00415274
29	30	33	8	10.5	-3	-0.0402567
30	31	32	6	0.38857	-3	-0.0697836
31	0	0	0	0	-1	-0.0275511
32	0	0	0	0	-1	-0.114362
33	0	0	0	0	-1	-0.0207478
