1	2	3	4	1.45	-3	-0.000936705
2	0	0	0	0	-1	-0.0203323
3	4	33	5	0.0835	-3	-0.000387536
4	5	14	7	23.5	-3	0.0019302
5	6	9	3	0.025	-3	-0.00432447
6	7	8	5	0.068	-3	0.0197453
7	0	0	0	0	-1	0.000629811
8	0	0	0	0	-1	0.0440741
9	10	11	9	3.175	-3	-0.00984507
10	0	0	0	0	-1	0.00732789
11	12	13	7	17.5	-3	-0.0144378
12	0	0	0	0	-1	-0.00697518
13	0	0	0	0	-1	-0.0270311
14	15	20	2	0.405	-3	0.00437371
15	16	19	5	0.0715	-3	0.0129706
16	17	18	6	13.5	-3	0.0031199
17	0	0	0	0	-1	0.0271875
18	0	0	0	0	-1	-0.00737109
19	0	0	0	0	-1	0.0247077
20	21	26	5	0.0665	-3	0.000684197
21	22	23	2	0.485	-3	0.0160248
22	0	0	0	0	-1	0.0448705
23	24	25	8	0.993725	-3	0.00862852
24	0	0	0	0	-1	-0.0130229
25	0	0	0	0	-1	0.0182514
26	27	30	5	0.0745	-3	-0.00325136
27	28	29	7	51.5	-3	-0.015209
28	0	0	0	0	-1	-0.0235605
29	0	0	0	0	-1	-0.00297987
30	31	32	7	29.5	-3	0.00351154
31	0	0	0	0	-1	0.0344341
32	0	0	0	0	-1	0.000750592
33	0	0	0	0	-1	-0.00407273
