1	2	3	4	1.55	-3	0.000611626
2	0	0	0	0	-1	-0.00724063
3	4	27	6	15.5	-3	0.000982112
4	5	26	4	5.6	-3	-0.00045087
5	6	7	1	6.55	-3	-4.30496e-05
6	0	0	0	0	-1	-0.00634076
7	8	9	5	0.0555	-3	0.000580328
8	0	0	0	0	-1	0.0114285
9	10	25	10	0.695	-3	6.10022e-05
10	11	18	2	0.6075	-3	0.00135361
11	12	15	5	0.0735	-3	0.00361423
12	13	14	9	3.255	-3	0.00916204
13	0	0	0	0	-1	0.00265867
14	0	0	0	0	-1	0.0162848
15	16	17	7	46.5	-3	0.00149159
16	0	0	0	0	-1	0.00335321
17	0	0	0	0	-1	-0.0109192
18	19	22	4	2.15	-3	-0.00203731
19	20	21	3	0.155	-3	-0.00774235
20	0	0	0	0	-1	-0.00361053
21	0	0	0	0	-1	-0.0184851
22	23	24	2	0.85	-3	0.00388715
23	0	0	0	0	-1	0.00032842
24	0	0	0	0	-1	0.0188338
25	0	0	0	0	-1	-0.00302496
26	0	0	0	0	-1	-0.0165042
27	28	33	3	0.56	-3	0.00297661
28	29	30	8	0.99631	-3	0.00350962
29	0	0	0	0	-1	0.000651197
30	31	32	11	9.45	-3	0.00532862
31	0	0	0	0	-1	-0.000738066
32	0	0	0	0	-1	0.00760362
33	0	0	0	0	-1	-0.00956967
