1	2	3	4	1.35	-3	-0.000566695
2	0	0	0	0	-1	-0.0167133
3	4	29	1	8.75	-3	-0.000341298
4	5	26	9	3.575	-3	-0.00142115
5	6	9	1	6.25	-3	-0.00185844
6	7	8	10	0.61	-3	-0.0088176
7	0	0	0	0	-1	-0.0156238
8	0	0	0	0	-1	-0.000877045
9	10	15	1	7.05	-3	-0.0012697
10	11	12	2	0.405	-3	0.00206112
11	0	0	0	0	-1	0.0157471
12	13	14	11	9.65	-3	4.84698e-05
13	0	0	0	0	-1	0.00679548
14	0	0	0	0	-1	-0.00317836
15	16	25	5	0.0705	-3	-0.00240257
16	17	22	5	0.0655	-3	-0.00760029
17	18	21	5	0.0625	-3	-0.00244825
18	19	20	2	0.32	-3	-0.00816169
19	0	0	0	0	-1	0.00393718
20	0	0	0	0	-1	-0.021684
21	0	0	0	0	-1	0.0162503
22	23	24	2	0.485	-3	-0.0172861
23	0	0	0	0	-1	-0.0295579
24	0	0	0	0	-1	-0.007644
25	0	0	0	0	-1	-0.0010267
26	27	28	5	0.0765	-3	0.00482586
27	0	0	0	0	-1	-0.00614699
28	0	0	0	0	-1	0.0130555
29	30	33	7	14.5	-3	0.00194218
30	31	32	3	0.455	-3	0.0130675
31	0	0	0	0	-1	0.0211266
32	0	0	0	0	-1	0.00427564
33	0	0	0	0	-1	0.000829655
