1	2	3	4	0.0591837	-3	-0.0204789
2	0	0	0	0	-1	-0.131393
3	4	21	6	0.414825	-3	-0.0164619
4	5	20	2	0.0770361	-3	0.00718337
5	6	9	8	10.5	-3	0.0232504
6	7	8	6	0.382241	-3	-0.028081
7	0	0	0	0	-1	-0.170198
8	0	0	0	0	-1	0.0456092
9	10	15	6	0.382073	-3	0.0423831
10	11	12	4	0.0699635	-3	0.104603
11	0	0	0	0	-1	0.211813
12	13	14	3	0.0490957	-3	0.0551215
13	0	0	0	0	-1	-0.0160142
14	0	0	0	0	-1	0.138113
15	16	19	5	0.00496772	-3	0.00954476
16	17	18	5	0.00446986	-3	0.0324646
17	0	0	0	0	-1	0.00452577
18	0	0	0	0	-1	0.127027
19	0	0	0	0	-1	-0.0775508
20	0	0	0	0	-1	-0.0467306
21	22	25	6	0.421056	-3	-0.0318588
22	23	24	2	0.067872	-3	-0.105485
23	0	0	0	0	-1	-0.069844
24	0	0	0	0	-1	-0.237355
25	26	29	2	0.0597293	-3	-0.0182351
26	27	28	4	0.066521	-3	-0.034484
27	0	0	0	0	-1	-0.129678
28	0	0	0	0	-1	-0.0264253
29	30	31	1	0.0740769	-3	0.049745
30	0	0	0	0	-1	-0.00997831
31	32	33	4	0.0791262	-3	0.111957
32	0	0	0	0	-1	0.018609
33	0	0	0	0	-1	0.222277
