1	2	3	4	0.05891	-3	-0.0129079
2	0	0	0	0	-1	0.26512
3	4	17	5	0.00327202	-3	-0.0206772
4	5	6	4	0.0718137	-3	0.00668862
5	0	0	0	0	-1	0.175587
6	7	12	6	0.438237	-3	-0.00669575
7	8	9	8	5	-3	0.0230574
8	0	0	0	0	-1	-0.0662444
9	10	11	8	42	-3	0.0404684
10	0	0	0	0	-1	0.0850369
11	0	0	0	0	-1	-0.0239844
12	13	16	6	0.464842	-3	-0.0820703
13	14	15	3	0.0103106	-3	-0.129614
14	0	0	0	0	-1	-0.18296
15	0	0	0	0	-1	-0.0374715
16	0	0	0	0	-1	0.108106
17	18	23	8	21	-3	-0.0570801
18	19	20	6	0.387083	-3	-0.150951
19	0	0	0	0	-1	-0.0190855
20	21	22	5	0.00423167	-3	-0.205895
21	0	0	0	0	-1	-0.0954559
22	0	0	0	0	-1	-0.316335
23	24	25	7	0.298861	-3	-0.0278884
24	0	0	0	0	-1	-0.170707
25	26	33	7	0.349851	-3	-0.00576149
26	27	32	5	0.00460063	-3	0.0284272
27	28	31	5	0.00409451	-3	-0.0277145
28	29	30	4	0.0742278	-3	0.0692958
29	0	0	0	0	-1	0.193774
30	0	0	0	0	-1	-0.0448094
31	0	0	0	0	-1	-0.110353
32	0	0	0	0	-1	0.0922246
33	0	0	0	0	-1	-0.0727144
