1	2	3	4	0.0586351	-3	-0.00711115
2	0	0	0	0	-1	0.0991476
3	4	27	1	0.157631	-3	-0.0100805
4	5	24	4	0.0963609	-3	-0.0179936
5	6	21	1	0.144813	-3	-0.0219575
6	7	12	3	0.0417914	-3	-0.0164895
7	8	11	5	0.00523779	-3	-0.00374169
8	9	10	6	0.464842	-3	-0.00839439
9	0	0	0	0	-1	-0.0131533
10	0	0	0	0	-1	0.0622571
11	0	0	0	0	-1	0.0833907
12	13	16	7	0.332078	-3	-0.0376062
13	14	15	7	0.30528	-3	-0.00950958
14	0	0	0	0	-1	-0.0821171
15	0	0	0	0	-1	0.00662543
16	17	18	5	0.0032133	-3	-0.07767
17	0	0	0	0	-1	-0.134786
18	19	20	1	0.0802124	-3	-0.0413231
19	0	0	0	0	-1	-0.00332913
20	0	0	0	0	-1	-0.128709
21	22	23	8	42	-3	-0.0672632
22	0	0	0	0	-1	-0.0955786
23	0	0	0	0	-1	0.00352526
24	25	26	2	0.0696906	-3	0.0464201
25	0	0	0	0	-1	-0.00760052
26	0	0	0	0	-1	0.122049
27	28	33	3	0.0286531	-3	0.0275751
28	29	32	8	73	-3	0.000612803
29	30	31	5	0.0036536	-3	-0.0181521
30	0	0	0	0	-1	-0.0637211
31	0	0	0	0	-1	0.0432671
32	0	0	0	0	-1	0.0639442
33	0	0	0	0	-1	0.138596
