1	2	3	4	0.0591837	-3	-0.00699387
2	0	0	0	0	-1	-0.131515
3	4	29	1	0.167891	-3	-0.00248406
4	5	26	6	0.459615	-3	-0.0115416
5	6	23	6	0.448689	-3	-0.0164231
6	7	22	5	0.00478786	-3	-0.00898639
7	8	11	6	0.396644	-3	-0.0173856
8	9	10	7	0.358513	-3	-0.0625284
9	0	0	0	0	-1	-0.0829005
10	0	0	0	0	-1	0.0325412
11	12	19	2	0.0201232	-3	-0.00464816
12	13	14	7	0.324578	-3	-0.0340787
13	0	0	0	0	-1	0.0432516
14	15	16	7	0.336377	-3	-0.0518002
15	0	0	0	0	-1	-0.167195
16	17	18	1	0.122711	-3	-0.0269685
17	0	0	0	0	-1	-0.0656299
18	0	0	0	0	-1	0.0192104
19	20	21	2	0.112283	-3	0.023586
20	0	0	0	0	-1	0.0333775
21	0	0	0	0	-1	-0.0870575
22	0	0	0	0	-1	0.0429205
23	24	25	3	0.0257999	-3	-0.0885788
24	0	0	0	0	-1	-0.204644
25	0	0	0	0	-1	-0.0394741
26	27	28	4	0.0793315	-3	0.065781
27	0	0	0	0	-1	-0.0539405
28	0	0	0	0	-1	0.195479
29	30	33	6	0.42367	-3	0.0476898
30	31	32	1	0.18875	-3	0.0133651
31	0	0	0	0	-1	0.0469258
32	0	0	0	0	-1	-0.0457657
33	0	0	0	0	-1	0.158292
